Distance,Population
0.00000000,Portuguese_central
0.01551710,Portuguese-2
0.01864806,Portuguese
0.01926382,Spanish-2
0.01943722,Spanish_Andalusia
0.02006141,Spanish
0.02042848,Portuguese_Azores
0.02552078,Spanish_Canarians
0.02637144,Spanish_Galicia
0.02638547,Spanish_Catalan
0.02801793,Spanish_Valencia
0.02874673,Spanish_Aragon
0.03009024,Swiss_Italian
0.03157986,Spanish_Cantabria
0.03210779,Spanish_Baleares
0.03494610,Italian_Tuscany
0.03507737,Italian_Aosta
0.03573522,Italian_North
0.03664833,Spanish_North
0.03743596,Italian_Marche
0.03804971,French_Corsica
0.03986065,Basque
0.03996582,French_Southwest
0.04075423,Italian_Veneto
0.04079264,Italian_Friuli
0.04084142,Basque_Spain
0.04134978,Canada_medio
0.04159024,Basque_France
0.04228498,French_South
0.04296870,Italian
0.04366538,French_Central
0.04526541,French_Rhone-Alpes
0.05064806,Albanian_Montenegro
0.05156237,Albanian_North
0.05195175,Albanian_Kosovo
0.05196734,French-2
0.05216171,Italian_Lazio
0.05272492,Austrian_Tyrol
0.05317710,Albanian_South
0.05334134,Albanian_North_Macedonia
0.05456112,Greek_Euboea
0.05458577,Albanian
0.05480590,Greek_Central
0.05633265,French
0.05665340,North_Macedonian
0.05728610,Greek_NE
0.05791563,German_Saarland
0.05817668,German_Rhineland-Palatinate
0.05818864,North_Macedonian-2
0.05893304,Swiss_German_North
0.05898656,Greek_Central-Macedonia
0.05940422,German_Hesse_South
0.06008370,Greek_Peloponnese
0.06086047,Liechtenstein
0.06100922,Kosovo
0.06133333,Greek_Macedonia
0.06171151,French_Northeast
0.06193672,German_Baden-WÃ¼rttemberg
0.06319148,French_Northwest
0.06326098,Greek
0.06346569,Montenegrin
0.06404024,German_Bavaria_proper
0.06429614,Bulgarian-2
0.06446811,Bulgarian
0.06450193,German_North_Rhine
0.06523461,Romanian
0.06565610,Greek_Thrace
0.06607506,Belgian-2
0.06621402,Luxembourg
0.06630804,Romanian_Northwest
0.06681349,Belgian
0.06683232,Montenegrin
0.06690459,German_Rhineland-Palatinate_East_of_Rhine
0.06727964,Romanian_Southeast
0.06731999,Italian_Apulia
0.06820573,German_Bavarian_Swabia
0.06871479,Italian_Sicily_Trapani
0.06930606,French_Brittany
0.06933374,Austrian_Salzburg-Upper_Austria
0.06962189,Flemish
0.07002825,German_Bavaria_Lower/Middle_Franconia
0.07038188,Austrian_LowerAustria
0.07077294,French_Brittany2
0.07135012,Greek_Andros
0.07188293,Greek_Istanbul
0.07259164,German_West_Bohemia
0.07262466,Italian_South
0.07275006,Austrian_Burgenland
0.07318506,Italian_Sicily_Palermo
0.07337785,Italian_Sicily_Ragusa
0.07351057,Romanian_Southwest
0.07357582,Serb
0.07372059,Serb-2
0.07389991,Italian_Sicily_Agrigento
0.07394965,Serb_Dalmatia
0.07397426,Greek_Cyclades
0.07416577,Italian_Campania
0.07480467,Italian_Sicily_Caltanisetta
0.07485654,USA_medio
0.07503211,English_Southwest
0.07510937,Romanian_Central
0.07517653,Jewish_Ashkenazi
0.07568128,English_East
0.07572324,German_Bavaria_Oberpfalz
0.07612172,Cornish
0.07645302,English_Southeast
0.07677689,English_East-Midlands
0.07698473,Romanian_Northeast
0.07720502,English_West-Midlands
0.07765936,Austrian_Styria
0.07833371,Maltese
0.07839018,English_Lancashire
0.07848664,Dutch_South
0.07857814,Greek_Kythira
0.07866041,Italian_Sicily_Catania
0.07904874,English_Northeast
0.07916098,Israel
0.07944816,English_Yorkshire
0.07962284,Welsh
0.07965878,Scottish
0.07967639,Uruguai_medio
0.07972548,Irish_Leinster
0.08018497,German_North_Moravia
0.08082986,Dutch_Central
0.08090424,Irish_Ulster
0.08094593,Italian_Sicily_Messina
0.08129811,English_London
0.08133209,Irish_Munster
0.08157795,Italian_Calabria
0.08209476,Dutch
0.08224584,German_County_Glatz
0.08244072,Irish_Connacht
0.08264988,Bosnian
0.08378137,Greek_Ikaria
0.08385014,German_Thuringia_Central
0.08509536,Greek_Chios
0.08517572,Greek_Crete
0.08538737,German_Lower_Saxony_South
0.08539681,German_Westphalia
0.08611733,Croatian
0.08619848,Dutch_North
0.08622052,Moldova
0.08643282,Northern_Ireland
0.08668867,German_Schleswig-Holstein
0.08732096,German_North_Bohemia
0.08791266,Hungarian-2
0.08834050,German_Saxony
0.08856570,Hungarian
0.08900536,Greek_Kalymnos
0.08964047,Austrian_Carinthia
0.08991738,Danish
0.09016389,Icelandic
0.09112094,German_Saxony-Anhalt_South
0.09208909,German_Lower_Saxony_North
0.09256194,Greek_Azov
0.09292245,German_Frisian
0.09330223,Slovenian
0.09401736,German_Thuringia_East
0.09492134,Greek_Dodecanese
0.09611022,Italian_Sardinia
0.09664061,Norwegian
0.09664061,Norwegian-2
0.09693667,German_Brandenburg_Northwest
0.09789618,German_Mecklenburg_Center/East
0.09792275,German_Hither_Pomerania
0.09951788,Czech_Moravia
0.10020746,Czech
0.10102210,Swedish
0.10122050,German_Lower_Silesia
0.10271251,Czech_Bohemia
0.10299827,German_Mecklenburg_West
0.10308712,German_East_Prussia_Central
0.10431818,Slovak-2
0.10533770,Turkish
0.10676360,Carpathian_Rusyns
0.10723476,Swedish_North
0.10815327,Slovak
0.10972225,German_West_Prussia
0.10979196,German_Farther_Pomerania
0.11373012,Ukrainian_West
0.11512338,Cyprus
0.11566167,Polish_South
0.11600925,Polish_Upper_Silesia
0.11826819,Polish_SE_Carpathia
0.11839765,German_Brandenburg_outlier(Beeskow)
0.11934049,Norwegian_North
0.12110186,Ukrainian
0.12408421,Upper_Silesia
0.12412477,Polish_Wielkopolska
0.12452584,Polish_North
0.12494325,German_East_Prussia_Masuria
0.12532645,Ukrainian_Central
0.12566059,Polish
0.12639633,Polish_Kashubian
0.12803863,Polish-2
0.12852964,Ukrainian_East
0.12854346,Russian_Don_Cossack
0.12922074,Turkish_Konya
0.12953054,Cossack_Ukrainian
0.13124479,Turkish_Kayseri
0.13201436,Turkish_Balikesir
0.13214482,Polish_Mazovia
0.13307034,Russian_Voronezh
0.13346847,Belarusian_Polesia
0.13366059,Russian_Oryol
0.13372924,Lebanon
0.13400141,Belarusian_West
0.13531609,Turkish_Aydin
0.13540107,Turkish_Denizli
0.13557210,Russian_Tambov
0.13629857,Greek_Pontic
0.13696577,Russian_Kursk
0.13760034,Russian_Bryansk
0.13773761,Turkish_Sivas
0.13809582,Cossack_Kuban
0.13813372,Russian_Smolensk
0.13939317,Belarusian_East
0.13962904,Polish_Podlasie_East_Mazovia
0.13972708,Turkish_Antalya
0.14043936,Russian_Tver
0.14098456,Russian_Meshchera_Lowlands
0.14123394,Syrian
0.14132705,Finnish_Southwest
0.14199739,Russian
0.14263705,Levantine
0.14380760,German_East_Prussia_Memelland
0.14526928,Estonian-2
0.14704922,Finnish_Southeast
0.14758842,Russian_Nizhny_Novgorod_Yaroslavl
0.14775152,Finnish_Central
0.14794857,Azerbaijan
0.14879842,Estonian
0.14920713,Finnish
0.14978712,Polish_Sudovia
0.15064847,Russian_Novgorod_Pskov
0.15192337,Russian_North
0.15215424,Assyrian
0.15229635,Palestinian
0.15235499,Armenian
0.15240674,Egypt
0.15337639,Russian_Kostroma
0.15586995,Latvian
0.15712499,Latvian2
0.15744907,Jordanian
0.15769485,Russian_Kirov
0.15828684,Russian_Perm
0.15851809,Finnish_Southeast_Ingria
0.15875410,North_Finnish
0.15895760,Paraguai_medio
0.15953039,Guiana_Francesa_medio
0.16009074,Finnish_Northeast
0.16014040,Lithuanian
0.16045226,Iraqi
0.16050687,East_Finnish
0.16131248,Karelian
0.16145479,Georgia
0.16335103,Venezuela_medio
0.16433024,Vepsian
0.16682254,Iran
0.17247935,Argentino_medio
0.17306121,Russian_Pinega
0.17374674,Brasileiro_medio
0.17554073,Tatar_Russia
0.17961529,United_Arab_Emirates
0.18249201,Tunisia
0.18404584,Oman
0.18538049,North-African
0.18734441,Libya
0.18895019,Tajikistan
0.19075671,Qatar
0.19297999,Saudi_Arabia
0.19580301,Morocco
0.19635790,Saami_Norway
0.19826488,Yemen
0.20102668,Libyan
0.21283000,Afghanistan
0.21602514,Saami_Finland
0.21647818,Chuvash_Russia
0.21956902,Kuwait
0.22030408,Chile_medio
0.22374988,Turkmenistan
0.22692069,Algeria
0.22779338,Mauritania
0.22898880,Saami
0.23580354,Cuba_medio
0.23773601,Saami_Sweden
0.24485944,Pakistan
0.25159373,PuertoRico_medio
0.25529187,Uzbekistan
0.27949372,Nepalese
0.28024432,Mexico
0.28576473,Bashkir_Russia
0.28962750,New_Zealand_Indigenous
0.29249227,Suriname_medio
0.29805500,CostaRica_medio
0.30200626,Trinidad_medio
0.31871426,Guiana_medio
0.32031813,Panama_medio
0.32348872,Belize_medio
0.32563847,Dominican_Republic
0.33711352,Indian
0.33749571,Nicaragua_medio
0.35560676,Honduras_medio
0.35740284,ElSalvador_medio
0.36224293,Bangladesh
0.36507376,Sri_Lanka
0.36836572,Ecuador
0.37961246,Colombia
0.38300049,Eritrea
0.39219508,Guatemala_medio
0.41332309,Kazakhistan
0.42221133,Kirghizstan
0.45037023,Sudan
0.45694610,Somalia
0.48227729,Bolivia
0.49199222,Mongolia
0.49561121,Ethiopia
0.54310840,Bahamas_medio
0.54370948,Myanmar
0.55435069,Jamaica_medio
0.55557245,Thailand
0.56239180,Uganda
0.56251415,Madagascar
0.56339150,Peru
0.56757065,Malaysia
0.56862752,Russian_Yakut
0.57210289,Rwanda
0.57570369,Cambodia
0.58501505,Central_Filipino
0.58883180,East_Timor
0.58904509,Indonesia
0.60384618,Haiti_medio
0.60928386,Japan
0.61211081,Vietnam
0.61378823,Laos
0.61612707,Korea
0.61845675,Brunei
0.62751448,Kenya
0.63206820,Chinese
0.63324973,Taiwan_Indigenous
0.64829183,Amerindian
0.66236799,Senegal
0.68901917,Chad
0.68907402,Burundi
0.69208005,Guinea
0.70058827,Tanzania
0.72263363,Nigeria
0.72907940,Mali
0.73358503,Mozambique
0.73781811,Gambia
0.74377368,Sierra_Leone
0.74428680,Burkina_Faso
0.74774222,Angola
0.74780596,Malawi
0.74816854,Cameroon
0.74883250,Congo
0.74917955,Sierra_Leone
0.74924286,Namibia
0.78333096,Sub-Saharan_African
0.79218370,South_Africa
0.79256233,Gabon
0.80805760,South_Sudan
0.80813697,Papua_New_Guinea
